Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
gzip,enwik8_1KB,1024,346,2.703125,7.300000015675323e-05,3.0199999855540227e-05,13.377568464424971,32.33650677719617,True
bzip2,enwik8_1KB,1024,401,3.1328125,0.00017469999966124306,5.3200000365905e-05,5.589939907805558,18.35643784367082,True
xz,enwik8_1KB,1024,412,3.21875,0.012505400000009104,6.050000001778244e-05,0.07809126457364732,16.14152892087544,True
zstd,enwik8_1KB,1024,351,2.7421875,0.00023469999996450497,2.189999986512703e-05,4.160896890275634,44.59189525179185,True
gzip,enwik8_10KB,10240,3814,2.9796875,0.0002685000004021276,0.00016840000034790137,36.37104277606778,57.99064714860436,True
bzip2,enwik8_10KB,10240,3824,2.9875,0.0009171000001515495,0.0002640000002429588,10.64837531172854,36.991003753836026,True
xz,enwik8_10KB,10240,3748,2.928125,0.015043199999581702,0.0002058000000033644,0.649172051177379,47.45201652011833,True
zstd,enwik8_10KB,10240,3760,2.9375,0.001766700000189303,2.429999995001708e-05,5.527607969068663,401.87757284308697,True
gzip,enwik8_100KB,102400,37099,2.898359375,0.003943499999877531,0.00036680000039268634,24.763851908972438,266.2384130192252,True
bzip2,enwik8_100KB,102400,32010,2.50078125,0.005151700000169512,0.0021575999999186024,18.956121279730322,45.26151742847802,True
xz,enwik8_100KB,102400,33756,2.6371875,0.03640550000000076,0.0019463999997242354,2.682458694427984,50.17275483653713,True
zstd,enwik8_100KB,102400,34509,2.696015625,0.02395120000028328,0.00012639999977182015,4.077300928506505,772.5969159516696,True
gzip,enwik8_1MB,1048576,371078,2.8311004638671875,0.043247900000096706,0.0032304999999723805,23.122509994653242,309.5496053268997,True
bzip2,enwik8_1MB,1048576,294143,2.2441329956054688,0.055214799999703246,0.02648410000028889,18.11108615815641,37.75850415868736,True
xz,enwik8_1MB,1048576,302764,2.309906005859375,0.2637810000001082,0.011399399999845627,3.791023614284539,87.72391529497537,True
zstd,enwik8_1MB,1048576,312643,2.3852767944335938,0.20781410000017786,0.001310399999965739,4.811993026455587,763.1257631457154,True
